journal,domain,tier,issn,total_dois,article_count_2024plus,crossref_title
Expert Systems with Applications,cs_ai,T1,0957-4174;1873-6793,30284,21914,Expert Systems with Applications
Neurocomputing,cs_ai,T1,0925-2312,25742,7892,Neurocomputing
IEEE Transactions on Antennas and Propagation,cs_ai,T1,0018-926X;1558-2221,24604,64,IEEE Transactions on Antennas and Propagation
IEEE Transactions on Automatic Control,cs_ai,T1,0018-9286;1558-2523;2334-3303,23934,876,IEEE Transactions on Automatic Control
IEEE Transactions on Vehicular Technology,cs_ai,T1,0018-9545;1939-9359,22093,5312,IEEE Transactions on Vehicular Technology
IEEE Transactions on Information Theory,cs_ai,T1,0018-9448;1557-9654,20073,1174,IEEE Transactions on Information Theory
Information Sciences,cs_ai,T1,0020-0255,19166,4848,Information Sciences
IEEE Transactions on Communications,cs_ai,T1,0090-6778;1558-0857,17608,888,IEEE Transactions on Communications
Automatica,cs_ai,T1,0005-1098,15499,559,Automatica
Pattern Recognition,cs_ai,T1,0031-3203,14881,7589,Pattern Recognition
IEEE Transactions on Wireless Communications,cs_ai,T1,1536-1276;1558-2248,14839,4511,IEEE Transactions on Wireless Communications
IEEE Transactions on Aerospace and Electronic Systems,cs_ai,T1,0018-9251;1557-9603;2371-9877,14226,2986,IEEE Transactions on Aerospace and Electronic Systems
Computational Materials Science,cs_ai,T1,0927-0256,13984,2245,Computational Materials Science
IEEE Transactions on Power Systems,cs_ai,T1,0885-8950;1558-0679,13694,1174,IEEE Transactions on Power Systems
Applied Soft Computing,cs_ai,T1,1568-4946,13539,4738,Applied Soft Computing
IEEE Transactions on Image Processing,cs_ai,T1,1057-7149;1941-0042,12839,692,IEEE Transactions on Image Processing
Knowledge-Based Systems,cs_ai,T1,0950-7051,12833,10033,Knowledge-Based Systems
Mechanical Systems and Signal Processing,cs_ai,T1,0888-3270;1096-1216,12780,3936,Mechanical Systems and Signal Processing
Neural Computing and Applications,cs_ai,T1,0941-0643;1433-3058,12144,3991,Neural Computing and Applications
IEEE Transactions on Pattern Analysis and Machine Intelligence,cs_ai,T1,0162-8828;2160-9292;1939-3539,11937,8160,IEEE Transactions on Pattern Analysis and Machine Intelligence
IEEE Transactions on Intelligent Transportation Systems,cs_ai,T1,1524-9050;1558-0016,11762,7777,IEEE Transactions on Intelligent Transportation Systems
Fuzzy Sets and Systems,cs_ai,T1,0165-0114,11253,672,Fuzzy Sets and Systems
Computer Communications,cs_ai,T1,0140-3664;0140-3664,10802,153,Computer Communications
IEEE Signal Processing Letters,cs_ai,T1,1070-9908;1558-2361,10694,303,IEEE Signal Processing Letters
IEEE Robotics and Automation Letters,cs_ai,T1,2377-3766,10637,1639,IEEE Robotics and Automation Letters
IEEE Transactions on Circuits and Systems for Video Technology,cs_ai,T1,1051-8215;1558-2205,10211,5322,IEEE Transactions on Circuits and Systems for Video Technology
IEEE Transactions on Consumer Electronics,cs_ai,T1,0098-3063;1558-4127,10110,1488,IEEE Transactions on Consumer Electronics
IEEE Transactions on Industrial Informatics,cs_ai,T1,1551-3203;1941-0050,9863,3716,IEEE Transactions on Industrial Informatics
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,cs_ai,T1,0278-0070;1937-4151,9738,944,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
Neural Networks,cs_ai,T1,0893-6080,9687,4231,Neural Networks
Pattern Recognition Letters,cs_ai,T1,0167-8655,9614,776,Pattern Recognition Letters
The Journal of Supercomputing,cs_ai,T1,0920-8542;1573-0484,9027,1304,The Journal of Supercomputing
Computer Networks,cs_ai,T1,1389-1286,8920,2439,Computer Networks
IEEE Transactions on Neural Networks and Learning Systems,cs_ai,T1,2162-237X;2162-2388,8742,14860,IEEE Transactions on Neural Networks and Learning Systems
Future Generation Computer Systems,cs_ai,T1,0167-739X,8742,2132,Future Generation Computer Systems
IEEE Transactions on Circuits and Systems I: Regular Papers,cs_ai,T1,1549-8328;1558-0806,8653,1590,IEEE Transactions on Circuits and Systems I Regular Papers
Concurrency and Computation: Practice and Experience,cs_ai,T1,1532-0626;1532-0634,7971,109,Concurrency and Computation Practice and Experience
IEEE Transactions on Multimedia,cs_ai,T1,1520-9210;1941-0077,7685,901,IEEE Transactions on Multimedia
IEEE Transactions on Visualization and Computer Graphics,cs_ai,T1,1077-2626;1941-0506;2160-9306,7645,158,IEEE Transactions on Visualization and Computer Graphics
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,cs_ai,T1,1063-8210;1557-9999,7221,683,IEEE Transactions on Very Large Scale Integration (VLSI) Systems
IEEE Transactions on Mobile Computing,cs_ai,T1,1536-1233;1558-0660;2161-9875,7124,2073,IEEE Transactions on Mobile Computing
IEEE Transactions on Cybernetics,cs_ai,T1,2168-2267;2168-2275,7052,1120,IEEE Transactions on Cybernetics
Journal of Systems and Software,cs_ai,T1,0164-1212,6767,1466,Journal of Systems and Software
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",cs_ai,T1,2168-2216;2168-2232,6712,2300,IEEE Transactions on Systems Man and Cybernetics Systems
Automation in Construction,cs_ai,T2,0926-5805,6681,663,Automation in Construction
IEEE Transactions on Dependable and Secure Computing,cs_ai,T2,1545-5971;1941-0018;0361-1434;2160-9209,6622,129,IEEE Transactions on Dependable and Secure Computing
IEEE Transactions on Smart Grid,cs_ai,T2,1949-3053;1949-3061,6572,113,IEEE Transactions on Smart Grid
IEEE Transactions on Information Forensics and Security,cs_ai,T2,1556-6013;1556-6021,6499,3145,IEEE Transactions on Information Forensics and Security
IEEE Transactions on Parallel and Distributed Systems,cs_ai,T2,1045-9219;1558-2183;2161-9883,6417,437,IEEE Transactions on Parallel and Distributed Systems
Chemometrics and Intelligent Laboratory Systems,cs_ai,T2,0169-7439,6286,462,Chemometrics and Intelligent Laboratory Systems
IEEE Transactions on Fuzzy Systems,cs_ai,T2,1063-6706;1941-0034,6091,1142,IEEE Transactions on Fuzzy Systems
Security and Communication Networks,cs_ai,T2,1939-0114;1939-0122,5952,131,Security and Communication Networks
Cluster Computing,cs_ai,T2,1386-7857;1573-7543,5927,1184,Cluster Computing
