publisher,articles,refs,flagged_refs,flag_pct,confirmed_fake_articles,journals_count,journal_names
Elsevier BV,1326,70468,948,1.345,6,13,Applied Soft Computing; Case Studies in Construction Materials; Construction and Building Materials; Engineering Applications of Artificial Intelligence; Expert Systems with Applications; Information Sciences; Journal of Computational Science; Knowledge-Based Systems; Labour Economics; Materials Today Communications; Neurocomputing; Pattern Recognition Letters; Solid State Communications
Springer Science and Business Media LLC,278,15937,137,0.86,0,3,Neural Computing and Applications; Social Indicators Research; The European Physical Journal Plus
Oxford University Press (OUP),183,13029,204,1.566,0,2,European Sociological Review; Social Forces
Routledge,150,11732,191,1.628,0,1,Social Science Research
Royal Society of Chemistry (RSC),178,10992,23,0.209,0,2,New Journal of Chemistry; RSC Advances
SAGE Publications,123,8939,50,0.559,0,1,Political Studies
IOP Publishing,168,8358,165,1.974,1,1,Materials Research Express
Wiley,85,7641,56,0.733,0,1,Regulation &amp; Governance
Informa UK Limited,128,6176,121,1.959,0,1,Applied Economics
Springer Netherlands,86,5770,53,0.919,0,1,Journal of Molecular Liquids
Academic Publishing Pte. Ltd.,82,4809,100,2.079,0,1,Journal of Building Engineering
Unknown,74,4673,50,1.07,0,1,Computers &amp; Industrial Engineering
Polaris,77,4504,12,0.266,0,1,British Journal of Political Science
Rowman & Littlefield Publishers,57,3160,5,0.158,0,1,Journal of European Social Policy
