journal,domain,tier,issn,volume_2024,total_dois
Atmosphere,cs_ai,1,2073-4433,211,12384
IEEE Transactions on Antennas and Propagation,cs_ai,1,0018-926X,64,24604
"IEEJ Transactions on Electronics, Information and Systems",cs_ai,1,0385-4221,396,9847
AIP Advances,cs_ai,1,2158-3226,95,18672
Computer Communications,cs_ai,1,0140-3664,153,10802
Geophysics,cs_ai,1,0016-8033,140,15242
F1000Research,cs_ai,1,2046-1402,298,17333
Communications Biology,cs_ai,1,2399-3642,168,9899
Bioinformatics,cs_ai,1,1367-4803,320,20680
Cerebral Cortex,cs_ai,1,1047-3211,139,9295
Machines,cs_ai,2,2075-1702,247,5530
Computational Geosciences,cs_ai,2,1420-0597,129,1543
IEEE Transactions on Dependable and Secure Computing,cs_ai,2,1545-5971,129,6622
Drones,cs_ai,2,2504-446X,202,3422
BMC Medical Research Methodology,cs_ai,2,1471-2288,145,3840
Journal of Systems Science and Complexity,cs_ai,2,1009-6124,305,2000
Internet of Things,cs_ai,2,2542-6605,99,1757
International Journal of Intelligent Systems,cs_ai,2,0884-8173,347,4003
Neural Processing Letters,cs_ai,2,1370-4621,373,3304
Frontiers in Neural Circuits,cs_ai,2,1662-5110,117,1702
IEEE Systems Journal,cs_ai,2,1932-8184,283,5051
BMC Psychology,cs_ai,2,2050-7283,59,4418
Journal of Computational and Graphical Statistics,cs_ai,2,1061-8600,343,2451
Journal of Medical Systems,cs_ai,2,0148-5598,326,4575
Artificial Life and Robotics,cs_ai,2,1433-5298,197,2120
Cell Systems,cs_ai,2,2405-4712,263,1340
International Journal of Computational Methods,cs_ai,2,0219-8762,179,1673
The Journal of Neuroscience,cs_ai,2,0964-704X,124,1412
Information Management and Business Review,cs_ai,2,2220-3796,312,1531
Advances in Computational Mathematics,cs_ai,2,1019-7168,199,1848
Frontiers in Big Data,cs_ai,3,2624-909X,204,722
Machine Intelligence Research,cs_ai,3,2731-538X,284,262
Foundations of Computational Mathematics,cs_ai,3,1615-3375,78,841
Journal of Sensor and Actuator Networks,cs_ai,3,2224-2708,235,779
Journal of computational fluids engineering,cs_ai,3,1598-6071,70,822
Theoretical and Computational Fluid Dynamics,cs_ai,3,0935-4964,76,1226
Computational Methods in Applied Mathematics,cs_ai,3,1609-4840,80,963
