domain,year,doi,journal,title,ref_count,first_author
stem,2023,10.1016/j.conbuildmat.2023.133950,Construction and Building Materials,Freeze-thaw resistance performance of alkaline residue-blast slag based low carbon binder material: Supplementary study,57,Yongxiang Qiu
stem,2023,10.1088/2053-1591/ad125e,Materials Research Express,Effect of extrusion temperature on the microstructure and mechanical properties of hot-extruded ZK60 magnesium alloy,47,Luosheng Ma
stem,2023,10.1016/j.mtcomm.2023.107279,Materials Today Communications,Effect of ultrasonic power on degassing and microstructure of large-scale 7085 aluminum alloy ingots,56,Ripeng Jiang
stem,2023,10.1016/j.mtcomm.2023.107341,Materials Today Communications,Effect of solid solution temperature on microstructure and mechanical properties of Sc-containing 7085 alloy,49,Qianqian Ren
stem,2023,10.1016/j.jobe.2023.108153,Journal of Building Engineering,Bond behavior of flexible braided AFRP tendons in high-performance concrete based on pull-out and beam tests,52,Weichen Xue
stem,2023,10.1016/j.conbuildmat.2023.133699,Construction and Building Materials,Bond characteristics of quartz sand modified enamel coated steel bars with concrete,51,Yihang Kuang
stem,2023,10.1016/j.conbuildmat.2023.133408,Construction and Building Materials,Effective utilization of mine overburden soil in producing aggregates by pelletization and sintering,56,T. Manjari
stem,2023,10.1016/j.ssc.2023.115376,Solid State Communications,"Study of magnetic properties and magnetocrystalline anisotropy of CoPb3 alloys by Ab initio calculations and Monte Carlo simulations for three-dimensional Ising, XY and Heisenberg models",51,G. Kadim
stem,2023,10.1088/2053-1591/ad0c7e,Materials Research Express,Integrated design of a robust superhydrophobic cement mortar layer via sizing sand grains,34,Weirong Lin
stem,2023,10.1039/d2nj06172d,New Journal of Chemistry,Ratiometric fluorescence detection of doxorubicin by R-CQDs based on the inner filter effect and fluorescence resonance energy transfer,32,Zhiwen Li
stem,2023,10.1088/2053-1591/ad1771,Materials Research Express,Random crystal orientation and tensile strength of nanocrystalline dumbbell-shaped copper thick films electrodeposited from acidic aqueous solutions containing polyethylene glycol,35,Reina Kawakami
stem,2023,10.1088/2053-1591/ad1354,Materials Research Express,"Microstructure, mechanical properties and biomedical application of medical implantable extruded Mg-Zn-Zr-Ca alloy",22,Ying-Ting Huang
